sha,author_name,committer_name,author_date,committer_date,commit_message
af071ef7702debef4f1d324616a0137a5001c14c,Jia Tan,Jia Tan,2024-03-25 17:50:02,2024-03-25 19:38:12,Docs: Simplify SECURITY.md.
0b99783d63f27606936bb79a16c52d0d70c0b56f,Lasse Collin,Lasse Collin,2024-03-22 15:46:30,2024-03-22 15:46:30,liblzma: memcmplen.h: Add a comment why subtraction is used.
8a25ba024d55610c448c6e4f1400a00bae51b493,Lasse Collin,Lasse Collin,2024-03-15 15:43:39,2024-03-15 16:04:10,INSTALL: Document arguments of --enable-symbol-versions.
49324b711f9d42b3543bf2f3ae598eaa03360bd5,Lasse Collin,Lasse Collin,2024-03-15 15:15:50,2024-03-15 16:04:10,"Build: Use only the generic symbol versioning with NVIDIA HPC Compiler.

This does the previous commit with CMake.

AC_EGREP_CPP uses AC_REQUIRE so the outermost if-commands must
be changed to AS_IF to ensure that things wont break some day.
See 5a5bd7f871818029d5ccbe189f087f591258c294."
c273123ed0ebaebf49994057a7fe98aae7f42c40,Lasse Collin,Lasse Collin,2024-03-15 14:36:35,2024-03-15 16:04:10,"CMake: Use only the generic symbol versioning with NVIDIA HPC Compiler.

It doesn't support the __symver__ attribute or __asm__("".symver ..."").
The generic symbol versioning can still be used since it only needs
linker support."
df7f487648d18a3992386a59b8a061edca862d17,Lasse Collin,Lasse Collin,2024-03-13 19:38:24,2024-03-15 16:04:10,Update THANKS.
3217b82b3ec023bf8338249134a076bea0ea30ec,Lasse Collin,Lasse Collin,2024-03-13 19:30:18,2024-03-15 16:03:47,liblzma: Minor comment edits.
096bc0e3f8fb4bfc4d2f3f64a7f219401ffb4c31,Sergey Kosukhin,Lasse Collin,2024-03-13 12:07:13,2024-03-15 15:30:50,"liblzma: Fix building with NVHPC (NVIDIA HPC SDK).

NVHPC compiler has several issues that make it impossible to
build liblzma:
  - the compiler cannot handle unions that contain pointers that
    are not the first members;
  - the compiler cannot handle the assembler code in range_decoder.h
    (LZMA_RANGE_DECODER_CONFIG has to be set to zero);
  - the compiler fails to produce valid code for delta_decode if the
    vectorization is enabled, which results in failed tests.

This introduces NVHPC-specific workarounds that address the issues."
2ad7fad67080e88fa7fc191f9d613d8b7add9c62,Lasse Collin,Lasse Collin,2024-03-13 19:17:10,2024-03-15 15:30:50,"CMake: Disable symbol versioning on non-glibc Linux.

This better matches what configure.ac does. For example, musl has
only basic symbol versioning support:

https://wiki.musl-libc.org/functional-differences-from-glibc.html#Symbol_versioning

configure.ac tries to enable symbol versioning only with glibc
so now CMake does the same."
82f0c0d39eb2c026b1d96ee706f70ace868d4ed4,Lasse Collin,Lasse Collin,2024-03-13 18:32:46,2024-03-15 15:30:50,CMake: Make symbol versioning configurable.
45d33bfc45e4295b8ad743bc2ae61cc724f98076,Lasse Collin,Lasse Collin,2024-03-13 17:47:36,2024-03-13 20:00:23,"Build: Style tweaks to configure.ac.

The AC_MSG_ERROR line is overlong anyway as are a few other
AC_MSG_ERROR lines already."
f56ed6fac6619b56b005878d3b5210e2f0d721c0,Sergey Kosukhin,Lasse Collin,2024-03-12 19:03:49,2024-03-13 19:59:55,"Build: Let the users override the symbol versioning variant.

There are cases when the users want to decide themselves whether
they want to have the generic (even on GNU/Linux) or the linux
(even if we do not recommend that) symbol versioning variant.
The former might be needed to circumvent compiler issues (i.e.
the compiler does not support all features that are required
for the linux versioning), the latter might help in overriding
the assumptions made in the configure script."
a4f2e20d8466369b1bb277c66f75c9e4ba9cc378,Jia Tan,Jia Tan,2024-03-09 03:27:27,2024-03-09 03:27:27,Add NEWS for 5.6.1
f01be8ad754a905d8c418601767480ec11621b02,Jia Tan,Jia Tan,2024-03-09 02:43:20,2024-03-09 02:43:20,Translations: Add missing --riscv option to man page translations.
6e636819e8f070330d835fce46289a3ff72a7b89,Jia Tan,Jia Tan,2024-03-09 02:18:29,2024-03-09 02:18:29,"Tests: Update two test files.

The original files were generated with random local to my machine.
To better reproduce these files in the future, a constant seed was used
to recreate these files."
a3a29bbd5d86183fc7eae8f0182dace374e778d8,Jia Tan,Jia Tan,2024-03-09 02:08:32,2024-03-09 02:08:32,"Tests: Test --single-stream can decompress bad-3-corrupt_lzma2.xz.

The first stream in this file is valid, so this tests that xz properly
stops after decompressing it."
0b4ccc91454dbcf0bf521b9bd51aa270581ee23c,Jia Tan,Jia Tan,2024-03-09 02:05:32,2024-03-09 02:05:32,"Tests: Update RISC-V test files.

This increases code coverage and tests for possible shifting bugs."
8c9b8b2063daa78ead9f648c2ec3c91e8615dffb,Jia Tan,Jia Tan,2024-03-09 01:52:32,2024-03-09 01:52:32,liblzma: Fix typos in crc32_fast.c and crc64_fast.c.
b93a8d7631d9517da63f03e0185455024a4609e8,Jia Tan,Jia Tan,2024-03-09 01:49:55,2024-03-09 01:49:55,"Tests: Replace HAVE_MICROLZMA usage in CMake and Autotools builds.

This reverts commit adaacafde6661496ca2814b1e94a3ba5186428cb."
