issue_#,state,created_at,updated_at,closed_at,title,body,url,user
164,open,2025-02-02 15:35:58,2025-02-02 16:01:25,,hard link handling,"I can understand the difficulty handling files with more than 1 hard link.

But consider the case where I have a file with 3 hard links and I ask `xz` to compress all 3 of them rather than just one of them.

It seems that in such a case, it should be safe for `xz` to just compress the (one actual) file and recreate the hard links, yes?

If so, this issue would be an RFE to implement this behaviour.",https://github.com/tukaani-project/xz/issues/164,brianjmurrell
163,open,2025-02-02 14:39:26,2025-02-02 15:12:43,,Shove xz into linux distro maintainers,We would like to propose taking advantage of linux distro maintainers for continued xz maintenance. Would you be interested in such an arrangement?,https://github.com/tukaani-project/xz/issues/163,SoniEx2
162,open,2025-02-01 00:33:27,2025-02-01 10:38:05,,xz-5.6.4 scan reports trojans,"Some Virusscanner reported issues and trojans with the current v5.6.4 versions of the  xz package, specially with liblzma.dll

https://www.virustotal.com/gui/file/a69d83338facb6e9a45147384beb7d7d8ed53b5e2a41e8c059ae0d0260b356ac/relations
",https://github.com/tukaani-project/xz/issues/162,netmaster4
161,open,2025-01-30 07:41:06,2025-01-30 18:53:26,,Compiling with emscripten fails,"Compiling with emscripten fails with:

```
369.4 signals.c:146:4: error: call to undeclared function 'mythread_sigmask'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
369.4   146 |                         mythread_sigmask(SIG_BLOCK, &hooked_signals, NULL);
369.4       |                         ^
369.4 signals.c:146:4: note: did you mean 'pthread_sigmask'?
369.4 /emsdk/upstream/emscripten/cache/sysroot/include/signal.h:230:5: note: 'pthread_sigmask' declared here
369.4   230 | int pthread_sigmask(int, const sigset_t *__restrict, sigset_t *__restrict);
369.4       |     ^
369.4 signals.c:163:4: error: call to undeclared function 'mythread_sigmask'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
369.4   163 |                         mythread_sigmask(SIG_UNBLOCK, &hooked_signals, NULL);
```

mythread_sigmask was disabled here: https://github.com/tukaani-project/xz/commit/81db3b889830132334d1f2129bdc93177ac2ca7d

Should the calling code get #if-defed out as well for WASM?",https://github.com/tukaani-project/xz/issues/161,Maddimax
157,open,2024-12-15 16:32:12,2024-12-18 17:15:49,,Compression ratio gets worse with level?,"Given:
```
seq 0 10000000 | awk '{printf ""%08X\n"", $1}' | base16 -d > ints
od -tx4 ints -An | tr a-f A-F | base16 -d > ints2
```
i.e. `ints` is 4-byte integers [0, 10000000] in big endian, and `ints2` is the same in little endian.

Then after
```
for i in $(seq 0 9); do xz -$i < ints > ints.xz-$i & :; done
for i in $(seq 0 9); do xz -$i < ints2 > ints2.xz-$i & :; done
```

I see
```
-rw-r--r-- 1 nabijaczleweli users 446.2k 12-15 17:27 ints2.xz-0
-rw-r--r-- 1 nabijaczleweli users   486k 12-15 17:24 ints2.xz-1
-rw-r--r-- 1 nabijaczleweli users 538.5k 12-15 17:24 ints2.xz-2
-rw-r--r-- 1 nabijaczleweli users 644.2k 12-15 17:24 ints2.xz-3
-rw-r--r-- 1 nabijaczleweli users 767.5k 12-15 17:24 ints2.xz-4
-rw-r--r-- 1 nabijaczleweli users     1M 12-15 17:24 ints2.xz-5
-rw-r--r-- 1 nabijaczleweli users 985.3k 12-15 17:24 ints2.xz-6
-rw-r--r-- 1 nabijaczleweli users   1.3M 12-15 17:24 ints2.xz-7
-rw-r--r-- 1 nabijaczleweli users   2.1M 12-15 17:24 ints2.xz-8
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints2.xz-9
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:27 ints.xz-0
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-1
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-2
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-3
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-4
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-5
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-6
-rw-r--r-- 1 nabijaczleweli users   1.8M 12-15 17:24 ints.xz-7
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-8
-rw-r--r-- 1 nabijaczleweli users   2.3M 12-15 17:24 ints.xz-9
```

So, beside integer endianness utterly defeating the compressor, (a) xz -7 ints is significantly smaller than every other setting, and (b) output size grows with compression levels for ints2.

It'd be nice if that were the other way around I think.

Testing on bookworm (5.4.1-0.2).",https://github.com/tukaani-project/xz/issues/157,nabijaczleweli
156,closed,2024-12-12 12:42:50,2024-12-12 13:25:00,2024-12-12 13:24:59,missing: LIBLZMA_HAS_AUTO_DECODER LIBLZMA_HAS_EASY_ENCODER LIBLZMA_HAS_LZMA_PRESET CMake error with MSVC installation.,"Hello, 

I downloaded the repository in .zip and extracted in a custom location ""C:/tools-src/xz-5.6.3"". My goal is to use the lzma library in my own project. To generate the library I want to use MSVC and CMake, I navigated to the source directory and ran the following commands:

Generating the build files: 
`cmake -G ""Visual Studio 17 2022"" -B ./xz-5.6.3-build -DBUILD_SHARED_LIBS=ON --graphviz=./dependencies/lzma_dependencies`

Building the project:
`cmake –-build ./xz-5.6.3-build –-config Release`

Installing the lzma library:
`cmake --install C:/tools-src/xz-5.6.3/xz-5.6.3-build --config Release --prefix C:/tools/liblzma`

However when running the below CMakeLists.txt, I am confronted with:
`Could NOT find LibLZMA (missing: LIBLZMA_HAS_AUTO_DECODER  LIBLZMA_HAS_EASY_ENCODER LIBLZMA_HAS_LZMA_PRESET) (found version""5.7.0"")`

```
cmake_minimum_required(VERSION 3.10)

project(LZMATest)

list(APPEND CMAKE_PREFIX_PATH ""C:/tools"")

# Find the liblzma library
find_package(LibLZMA REQUIRED)

# Create an executable for the test
add_executable(lzma_test ${CMAKE_CURRENT_SOURCE_DIR}/src/main.cpp)

# Link the liblzma library to the executable
target_link_libraries(lzma_test PRIVATE LibLZMA::LibLZMA)
```

Any suggestions to as why this is happening and why those CMake variables are missing?





",https://github.com/tukaani-project/xz/issues/156,Frankelicious
154,closed,2024-12-08 04:17:32,2024-12-27 08:10:41,2024-12-27 08:10:41,brew install xz的时候提示  deny_network_access。,"环境信息：
mac m1 
os big sur 11.3
743ec0a46654afe22d5ecbe5c3c712c251857d3548c15adcb69345--xz.rb
Error: xz: undefined method `deny_network_access!' for Formulary::FormulaNamespace7ca23d67df04b730c79d07186c0edad6::Xz:Class

如何解决这个  错误？ 
",https://github.com/tukaani-project/xz/issues/154,WuJieFly
150,closed,2024-10-28 12:57:54,2024-11-19 13:45:35,2024-11-19 13:45:35,"Important piece of information omitted in the description of the `-d` option, to decompress","Hello. Having a __.bin.xz_ file to decompress, I started by looking for the instruction in the `man`-page. There, for the relevant part, we have.
```
-d, --decompress, --uncompress
 Decompress.
```
What we will learn however by running a command with this option alone, is that it not only **decompresses** the original compressed file, but also **deletes it**, leaving us with only the contents of the decompressed file.

PS.: I don't know now how to proceed in order to introduce the file thus deleted into my system. What a hassle!",https://github.com/tukaani-project/xz/issues/150,Ricky-Tigg
148,closed,2024-10-15 09:19:49,2024-11-30 10:11:33,2024-11-30 10:11:33,Suggestion to Relocate Security Policy to Root Folder for XZ Project,"The Security Policy for this project is currently located in the `.github` directory [(`xz/.github/SECURITY.md`)](https://github.com/tukaani-project/xz/blob/master/.github/SECURITY.md). The scorecard tool is unable to detect it because it is not in the root folder.

**Proposed Action**:
Move the `SECURITY.md` file from `xz/.github/` to the root directory `xz/`.

- This change will ensure that the Security Policy is easily discoverable and compliant with tools like the scorecard.
- It will improve the overall security posture and transparency of the project.

**References**: 
Scorecard documentation: [Link to Scorecard Checks](https://github.com/ossf/scorecard/blob/main/docs/checks.md#security-policy)

Thank you for your time and consideration!",https://github.com/tukaani-project/xz/issues/148,Ahlam-Banu
147,closed,2024-10-11 14:05:09,2025-01-04 18:46:03,2024-12-18 19:10:45,How does 5.2.4 fix CVE-2024-47611? We cannot upgrade to 5.6.3 for the time being.,"Thank you very much for fixing CVE-2024-47611: Argument injection on Windows in time. 
However, some of our products that cannot be upgraded are still using version 5.2.4 that has not switched the CMakefile build, which makes it impossible to apply the corresponding commit of the 5.2 branch for repair. 

How should this vulnerability be fixed for versions 5.2.4 and earlier?",https://github.com/tukaani-project/xz/issues/147,Adolph-WSY
