from,to,positive,neutral,negative
prplwtf,abysssdweller,"[{'message': 'Sounds like a great idea! With the best of intentions, what could possibly go wrong..', 'score': 0.9844957336317748, 'timestamp': '2024-03-29T21:08:00Z', 'file_name': 'pr_64.csv'}]",[],[]
qwertychouskie,prplwtf,[],[],"[{'message': ""\nDo you have reason to believe these commits are malicious?  They're from a different author"", 'score': -0.5134125961922109, 'timestamp': '2024-03-29T21:59:43Z', 'file_name': 'pr_64.csv'}]"
Anonymous941,JiaT75,[],"[{'message': 'The first of Jia Tan\'s ""contributions"" to xz...', 'score': 0.0034939544275403023, 'timestamp': '2024-07-05T15:20:28Z', 'file_name': 'pr_7.csv'}]",[]
Theldus,AffSeda,[],[],"[{'message': 'As if rewriting in `<safest-language-that-exists>` would prevent malicious people from committing to the project...', 'score': -0.7334794821217656, 'timestamp': '2024-03-30T00:26:39Z', 'file_name': 'issue_102.csv'}]"
doclic,nullyfae,[],[],"[{'message': ""\nthis project should clearly be rewritten in haskell so that it's too confusing to write a backdoor for!!"", 'score': -0.8502670284360647, 'timestamp': '2024-04-09T21:26:34Z', 'file_name': 'issue_102.csv'}]"
Co3co,doclic,[],[],"[{'message': ""Never open an issue on GitHub ever again, for everybody's sake."", 'score': -0.9608030237723142, 'timestamp': '2024-04-10T23:48:22Z', 'file_name': 'issue_102.csv'}]"
reitowo,Co3co,[],"[{'message': 'you should more like, rewrite yourself in rust', 'score': -0.00818655826151371, 'timestamp': '2024-04-15T02:40:04Z', 'file_name': 'issue_102.csv'}]",[]
sfalken,AdnaneKhan,[],"[{'message': 'openSUSE has also made their announcement.\n\nhttps://news.opensuse.org/2024/03/29/xz-backdoor/', 'score': 0.17019694135524333, 'timestamp': '2024-03-29T19:10:47Z', 'file_name': 'issue_92.csv'}]",[]
Alcaro,sfalken,[],[],"[{'message': '\nBinary files containing compressed data make sense.\n\n35KB binary files containing compressed data, that decompress to apparent nonsense and have no documentation on how they were created, do not make sense.', 'score': -0.9561994129326195, 'timestamp': '2024-03-29T19:13:58Z', 'file_name': 'issue_92.csv'}]"
femboywiki,scy,[],[],"[{'message': 'Does anyone have any information concerning the threat actor such as his identity or country of origin?', 'score': -0.3826716812327504, 'timestamp': '2024-03-29T19:22:11Z', 'file_name': 'issue_92.csv'}]"
lietu,femboywiki,[],[],"[{'message': '\nFrom the sound of it, seems like a fake identity. Unlikely even GitHub can easily find out.', 'score': -0.9086948016192764, 'timestamp': '2024-03-29T19:23:39Z', 'file_name': 'issue_92.csv'}]"
Alcaro,imadnyc,"[{'message': '\nhttps://security.archlinux.org/ASA-202403-1\n\nConsidering upstream version 5.6.1 was released three weeks ago, I must say I find that statement rather strange.\n\ne: Fixed at https://gitlab.archlinux.org/archlinux/packaging/packages/xz/-/commit/881385757abdc39d3cfea1c3e34ec09f637424ad , by using the Git release rather than Github. Good job with the embargo, that is a thorougly unsuspicious commit that nevertheless does fix the issue.', 'score': 0.3947540633380413, 'timestamp': '2024-03-29T19:35:37Z', 'file_name': 'issue_92.csv'}]",[],[]
imide,zb3,[],[],"[{'message': '[https://archlinux.org/news/the-xz-package-has-been-backdoored/](https://archlinux.org/news/the-xz-package-has-been-backdoored/)\n\nthey made a main website announcement. seems like arch cant be backdoored? i am a moron however', 'score': -0.8006495321169496, 'timestamp': '2024-03-29T19:38:13Z', 'file_name': 'issue_92.csv'}]"
