from,to,positive,neutral,negative
Jia Tan,,"[{'message': 'Hello!\n\nThanks for the PR. This is a great start to improving the fuzz testing. I will start with a few overall comments here and then add some more specific comments directly on the commits themselves.\n\nFirst, we need to be sure that we are using the fuzz resources in the best way we can. Its easy to think of the OSS-Fuzz resources as unlimited, but each project can only be fuzzed so much. We should only include a fuzz target if it provides clear value and is testing an important part of liblzma that isn\'t being covered by a different fuzz target. Otherwise, less useful fuzz targets will take away compute time from the more useful ones. So, can you justify the reasoning behind each of the new fuzz targets? For instance, I am not sure that the raw encoder and decoder fuzz targets are useful since their important code paths are already covered by every other fuzz target. The raw coders don\'t have important header data, its just raw LZMA data. I am likely missing an important fuzz case, but in my mind I can think of three useful things to fuzz in our library:\n\n- Metadata encoding/decoding (magic bytes, file headers, block headers, lzma2 chunk headers, etc.)\n- Filter data encoding/decoding (LZMA1, BCJ, delta)\n- Check functions (CRC32, CRC64, SHA256)\n\nNext, the code itself has a lot of repeated boilerplate. Each of the fuzz targets has very little unique code. For instance, this could be reorganized into a shared header file that provides a function for encoding and a function for decoding. These functions can take the coder init function (lzma_alone_decoder(), lzma_auto_decoder(), etc.) as a function pointer arg and any needed flags or options.\n\nWe could also consider fuzzing the various BCJ filters (x86, PowerPC, ARM64, etc). These filters are designed to be applied to executable data, but will be run on non-executable data very often. So its possible that there are hidden data corruption bugs on an unexpected input sequence since they are mostly tested on executable data, making it a good candidate for fuzz testing. These filters cannot be used as raw coders at this time, so they will have to be combined in a filter chain with LZMA1/2. If we want to look for data corruption bugs, we should encode a chunk, then decode it and compare if the decoded version exactly matches the original data.\n\nFor your commit messages, we like to keep a consistent format. When we release, our Changelog is generated automatically from the contents of the commit messages. Also it helps us maintain our codebase better when the commit messages are descriptive and clear. For your commits, please have them start with the category of what they are changing. For these, I would prepend ""Tests:"" to the first line of each commit. The first line of each commit should be a brief description of the purpose of the commit. The following lines should explain what was changed and why. Make sure to wrap the lines of the commit message to at most 73 characters since different commit log viewers may or may not wrap long lines and it helps keep a consistent look in our Changelog.', 'score': 0.9773265372496098, 'timestamp': '2023-11-29T13:07:43Z', 'file_name': 'pr_73.csv'}, {'message': ""\nMakes perfect sense. I noted the BCJ filter fuzzing as option to consider. We don't necessarily need to implement it or implement it right away. Just an idea of something we could also be fuzzing if we agree the value is there.\n\n\nI think the simplest approach would be to use a common separate header file. Creating a dynamic template would take some extra build logic whereas an extra header file would only require updating the Makefile."", 'score': 0.6786818178370595, 'timestamp': '2023-11-29T16:52:47Z', 'file_name': 'pr_73.csv'}, {'message': ""\nWe like to keep our commits small and focused, so we will likely want more than one commit for this many changes. For now, don't worry about squashing your commits until the review is basically done. At the end we can figure out how many commits are appropriate for this and squash accordingly. So feel free to keep adding fix up commits as we go.\n\nI'll start reviewing your new changes."", 'score': 0.26617018366232514, 'timestamp': '2023-11-30T14:08:48Z', 'file_name': 'pr_73.csv'}, {'message': '\nIts safe to remove the `.lzma_raw` files and the `tests/files/README` changes.\n\nThanks for all the changes so far! I feel we are getting close to this being ready.', 'score': 0.9553973429137841, 'timestamp': '2023-12-01T13:31:19Z', 'file_name': 'pr_73.csv'}]","[{'message': ""\nThanks for looking into this!\n\nAfter some thought, it seems like a better use of resources to omit `fuzz_decode_stream_crc.c` and `fuzz_decode_lzip.c`. If we think the CRC code should be fuzzed we can add a fuzz target to directly test the various check functions. I'm not sure this will be needed since the input data to the check functions doesn't have much impact on the code path taken. On the Lzip side, this feature isn't used much and the header is very simple. We have tests that cover this in the test framework already so it doesn't feel worth the resources to fuzz it when we already have two other fuzz targets that hit the interesting code paths (alone and stream decoder).\n\nInstead, we should split `fuzz_encoder_stream` into two separate fuzz targets. The first could be called `fuzz_encode_stream` and the second `fuzz_encode_stream_light`. `fuzz_encode_stream` should use preset level 5 and `fuzz_encode_stream_light` should use preset level 1. \n\nAfter this, I think we are ready to squash the commits. As long as the commits are well organized it doesn't matter exactly how you choose to squash them. Here is one suggestion:\n\n1. Move `fuzz.c` to `fuzz_decode_stream.c`\n2. Separate logic from `fuzz_decode_stream.c` into `fuzz_common.h`\n3. Makefile changes\n4. Add `fuzz_decode_alone` fuzz target\n5. Add `fuzz_encode_stream` fuzz target\n6. Add `fuzz_encode_stream_light` fuzz target\n\nCommits 5 and 6 could be combined, up to you."", 'score': 0.14145337790250778, 'timestamp': '2023-12-04T14:25:55Z', 'file_name': 'pr_73.csv'}]","[{'message': ""\nI believe what was meant was that we have built up a very large corpus over the years on the `fuzz.c` fuzz target. Since that is renamed to `fuzz_decode_stream.c` in this PR, we would lose that large corpus if we do not take the proper steps to prevent that. We can either not rename this fuzz target or download a copy and restore it. I prefer the latter, and I have already downloaded a recent version of the corpus so it can be restored later.\n\n\nI don't see us incorporating CIFuzz since features get integrated into OSS-Fuzz soon after they are committed anyways. The real question is how OSS-Fuzz divides up time between fuzz targets. I have not seen any description of this on the OSS-Fuzz online documentation so we would likely have to look into their internals to truly answer that question.\n\n\nThe point here is that we don't want to over-emphasize the importance of code coverage. Fuzzing is computationally expensive so increasing the code coverage should only be done if we are increasing **meaningful** code coverage. I would much rather fuzz 1 complicated function that 10 simple ones.\n\nSo the goal shouldn't be to hit a certain percentage of code coverage. The goal should be to fuzz 100% of critical complicated code. And we don't expect you to know what all the critical complicated code in our project is, thats where we need to work together.\n\nWe do appreciate your efforts so far. I know it doesn't feel great to remove things, but in this case less is more.\n\nThe LZMA encoder certainly counts as critical complex code and that fuzz target adds a lot of value :)\n\n\nEach fuzz target needs to provide justifiable value outside of just extra code coverage. With the above points in mind, it feels safe to only consider the following fuzz targets:\n\n- fuzz_decode_alone. This test focuses on LZMA1 header/data fuzzing and EOPM handling.\n\n- fuzz_decode_lzip. This test focuses on LZIP header fuzzing. The LZIP header parsing is fairly simple and we have tests for it in the test framework, but maybe its still worth fuzzing.\n\n- fuzz_decode_stream_crc. This test focuses on portions not covered by fuzz_decode_stream. So mainly when the code leading to the check functions and the check functions themselves. The check functions are complicated and may deserve fuzzing, but the code leading to them may not really need fuzzing. So a more focused fuzz target that just calls the CRC and SHA256 functions directly could be more efficient since it avoids the LZMA decoding (which is covered by the other fuzzers).\n\n- fuzz_decode_stream. This test focuses on fuzzing .xz headers, block headers, index, etc. Additionally it fuzzes LZMA2 and LZMA1 decoding.\n\n- fuzz_encode_stream. This test focuses on encoding a .xz file including all of the things in fuzz_decode_stream, except on the encoder side.\n\nThere are a few areas where fuzzing could be expanded if we agree these are critical complex code paths:\n\n- BCJ Filters (already partially covered by fuzz_decode_stream)\n\n- Delta Filter (already partially covered by fuzz_decode_stream)\n\n- Different encoder settings (different match finders, dictionary sizes, LZMA properties, etc.). This could be accomplished by having an additional fuzz target for the encoder using preset 1. Instead of the default preset in `fuzz_encode_stream.c` we could use preset 5 since it should be a little faster (smaller `nice_len`) but have almost all the same settings. \n\nThe fuzzer machines do not have multiple cores, so unfortunately it doesn't make sense to fuzz the multithreaded stream encoder/decoder code. Otherwise that would be another candidate for critical complex code."", 'score': -0.24310237169265747, 'timestamp': '2023-12-02T13:27:20Z', 'file_name': 'pr_73.csv'}]"
,Jia Tan,"[{'message': ""\nThank you for the review! I've reverted the changes and added the `max_len=4096` to all fuzzer options. "", 'score': 0.9534805181901902, 'timestamp': '2023-12-01T13:58:48Z', 'file_name': 'pr_73.csv'}]",[],"[{'message': 'A follow up on the redundant fuzzers: I ran the setup without them, and the coverage difference is indeed negligible. I am removing them from the pull request', 'score': -0.9570345066022128, 'timestamp': '2023-12-01T12:35:26Z', 'file_name': 'pr_73.csv'}, {'message': 'Also, I am now questioning whether the addition of `.lzma_raw` files is needed, since the corresponding fuzzers were removed from the pull request', 'score': -0.6954786092974246, 'timestamp': '2023-12-01T13:06:18Z', 'file_name': 'pr_73.csv'}]"
Lasse Collin,,"[{'message': ""Thanks to both of you for your work so far!\n\nThere are a few things I would like to understand better. I have only skimmed OSS-Fuzz's docs so I might be asking silly questions, sorry.\n\n1. Seems that [renaming a fuzz target](https://google.github.io/oss-fuzz/faq/#what-happens-when-i-rename-a-fuzz-target-) requires renaming the accumulated corpora too.\n\n2. Does adding more fuzzers mean that the project-specific fuzzing resources (processor time) will be divided between the fuzzers? With a quick look I didn't find any advice about resource usage in OSS-Fuzz docs and it's not discussed much in this thread either.\n\n3. The value of code coverage in fuzzing is unclear. *If* extending coverage by a few simple lines of code could slow down fuzzing of more important parts of the code, does it make sense to extend fuzzing coverage in that case? I'm thinking of cases where an old-school code review shouldn't take a lot of time (code snippets that are about 200 lines each and do nothing unusually complicated). Or perhaps these should be fuzzed at first but disabled after some time if they find nothing?\n\nExamples of remaining significant overlap in the new fuzzing targets:\n\n* fuzz_encode_alone.c would test end of payload marker (EOPM) encoding in LZMA but otherwise it doesn't test much that won't be tested by fuzz_encode_stream.c. They both use the LZMA encoder in the end. So it seems that fuzz_encode_alone.c isn't useful and could _maybe_ even be harmful due to resource usage unless the fuzzers are smart enough to spot when code paths become identical.\n\n* fuzz_decode_alone.c splits into three different decoders depending on the input. Yet the three decoders are fuzzed separately too (stream, alone, lzip). So the only extra fuzzed thing is the small auto_decoder.c.\n\nI don't know enough about the fuzzing methods to know what actually makes sense. I would like to be assured that adding all these fuzzers adds real value.\n\nThanks!"", 'score': 0.748419402167201, 'timestamp': '2023-12-01T17:19:14Z', 'file_name': 'pr_73.csv'}]",[],[]
Sam James,,[],"[{'message': 'I think we should keep this open so the build system can work around it.', 'score': 0.0407179300673306, 'timestamp': '2023-11-15T04:00:20Z', 'file_name': 'issue_70.csv'}]",[]
,Lasse Collin,[],"[{'message': '\nan ifunc WILL compile and link successfully in a dynamically built program, but musl does not implement ifunc (GNU glibc only extension)', 'score': -0.0008266419172286987, 'timestamp': '2023-11-16T19:01:15Z', 'file_name': 'issue_70.csv'}, {'message': 'we could extract the triple on gcc/clang via `-dumpmachine`\n\n```\n$ clang -dumpmachine\nx86_64-alpine-linux-musl\n```', 'score': 0.020837008021771908, 'timestamp': '2023-11-17T08:28:35Z', 'file_name': 'issue_70.csv'}]","[{'message': 'a crude hack to detect musl is to detect /lib/ld-musl-*', 'score': -0.375386327970773, 'timestamp': '2023-11-16T19:02:25Z', 'file_name': 'issue_70.csv'}]"
Lasse Collin,,[],[],"[{'message': ""\nYes, I relealized this as I wrote in my next message. Since GCC upstream knows that musl doesn't support ifunc, I wonder if Clang/LLVM should know it too and then warn or error if the ifunc attribute is used. That is, I wonder if this could be a Clang/LLVM bug.\n\n\nIn Autoconf, checking if `$host_os` equals `linux-musl` probably is the correct method. I don't know right now how to detect it in CMake.\n\nAccording to musl's FAQ, there intentionally is no easy `#ifdef` to detect musl in C code.\n\nHacks like checking file paths wouldn't work when cross-compiling.\n\nOn the second thought, uClibc might not support ifunc either. It could be better to detect glibc, so `linux-gnu` in case of Autoconf (maybe FreeBSD too). But once again I don't know right now how to detect the libc in CMake."", 'score': -0.23173872381448746, 'timestamp': '2023-11-16T19:55:30Z', 'file_name': 'issue_70.csv'}]"
Jia Tan,,[],"[{'message': ""\nThe default build options need to create a working build on all of our supported platforms. Right now people can just disable ifunc for a working musl build as you discovered with `-DALLOW_ATTR_IFUNC=OFF`. That is only a temporary workaround since we want to make our build systems as easy to use for people as possible.\n\nI have been working a [branch](https://github.com/tukaani-project/xz/tree/ifunc_detect_fix) to address this. The idea is to change the ifunc option for our CMake and Autotools build from ON/OFF or enable/disable to auto/ON/OFF. 'auto' will try to enforce using ifunc with glibc or BSD platforms only. ON will always try to use ifunc and OFF will obviously disable ifunc completely. Both auto and ON will still test the compiler if it supports `__attribute__((__ifunc__()))`.\n\nIf you can test the new branch on Alpine that would be very helpful. I tested with `musl-gcc` wrapper and things seemed to work. We haven't decided 100% if this is the approach we want to take but it seems promising so far.\n\nThanks for all of your help so far!"", 'score': 0.03344202600419521, 'timestamp': '2023-11-27T13:03:57Z', 'file_name': 'issue_70.csv'}, {'message': ""Our CMake support is considered unstable and is undergoing a lot of improvements. Many of these improvements are already on master but have not made it into a stable release. If you only need `liblzma`, then using a release from the 5.4 branch will work. We will have a new `5.4.5` release later today and that will include a few small CMake changes. We recently ported the command line tools `xz` and `xzdec` to MSVC but that will not be part of any of the 5.4 releases\n\nWe are planning to release 5.6.0 this December which may change the default library to being a shared library. We may consider our CMake support stable at that point. So, to be safe you should explicitly set the `BUILD_SHARED_LIBS` option if you do build `liblzma` through CMake since this option's default value specifically might not be stable.\n\nIf you can use our Autotools build system on Windows through something like Cygwin or MSYS2, that is recommended over CMake at the moment. If not, our CMake build will likely still work for you, but be careful of minor things changing in the future. We generally don't break things with our CMake build and are usually just adding more features. I hope this answers your question!"", 'score': -0.07522442378103733, 'timestamp': '2023-10-31T16:05:35Z', 'file_name': 'issue_68.csv'}]","[{'message': ""\nI don't think this will work for us since a tool like `musl-gcc` (a GCC wrapper for using musl libc) still outputs `x86_64-linux-gnu` with `-dumpmachine`. So this would fix things for Alpine, but our builds would still be broken for anyone compiling for musl libc using a wrapper like this.\n"", 'score': -0.878083897056058, 'timestamp': '2023-11-23T16:05:13Z', 'file_name': 'issue_70.csv'}]"
,Jia Tan,"[{'message': '\nTested on alpine, it works ^^', 'score': 0.7953602554043755, 'timestamp': '2023-11-29T09:42:54Z', 'file_name': 'issue_70.csv'}, {'message': '\nMatthew Good', 'score': 0.7599202319979668, 'timestamp': '2023-11-30T12:18:19Z', 'file_name': 'issue_70.csv'}]","[{'message': '\nHmmm', 'score': 0.08717402815818787, 'timestamp': '2023-11-27T03:48:00Z', 'file_name': 'issue_70.csv'}, {'message': 'Maybe we could just add a define for musl\n\nmake -D MUSL=1\n\nand trust the builder to pass this define when building on a musl distro', 'score': 0.008924373425543308, 'timestamp': '2023-11-27T03:49:11Z', 'file_name': 'issue_70.csv'}, {'message': 'Alright\n\nOn Mon, 27 Nov 2023, 11:04 pm Jia Tan, ***@***.***> wrote:\n', 'score': 0.025654828175902367, 'timestamp': '2023-11-27T13:08:16Z', 'file_name': 'issue_70.csv'}]",[]
,,[],[],"[{'message': 'same here; can not compile xz-5.6.0 on opensuse leap 15.5, ""xzdec.c:329:29: error: ‘SYS_landlock_create_ruleset’ undeclared"",  ""xzdec.c:349:15: error: ‘SYS_landlock_restrict_self’ undeclared""\n\nseems, the unconditional use of SYS_landlock_... in xz-5.6.0 sources has somehow to be guarded if not-so-recent glibc is installed on the host', 'score': -0.8788819476030767, 'timestamp': '2024-02-25T20:59:02Z', 'file_name': 'issue_88.csv'}]"
,Jia Tan,"[{'message': 'yes,  ""./autogen.sh;./configure;make;make check"" successful :-)\n\nthanks for the quick resolution', 'score': 0.974935830803588, 'timestamp': '2024-02-26T17:17:09Z', 'file_name': 'issue_88.csv'}]","[{'message': 'any road map / time line, when a release containing the fix could be available?', 'score': -0.007229913957417011, 'timestamp': '2024-02-26T17:20:58Z', 'file_name': 'issue_88.csv'}, {'message': 'ok, it is not urgent for me.\nthanks for your elaboration on sandbox and the SYS_landlock_... calls.', 'score': -0.0025714635848999023, 'timestamp': '2024-02-27T12:49:17Z', 'file_name': 'issue_88.csv'}]",[]
