pr_#,state,created_at,updated_at,closed_at,merged_at,title,body,url,issue_url,merge_sha,user
168,closed,2025-03-10 02:18:51,2025-03-10 21:51:32,2025-03-10 13:57:16,,tuklib_physmem: Silence -Wsign-conversion on AIX.,"On AIX:

```
$ ./configure && make
[...]
../common/tuklib_physmem.c:151:8: warning: conversion to 'uint64_t' {aka 'long long unsigned int'} from 'long long int' may change the sign of the result [-Wsign-conversion]
  151 |  ret = _system_configuration.physmem;
      |        ^~~~~~~~~~~~~~~~~~~~~
mv -f .deps/liblzma_la-tuklib_physmem.Tpo .deps/liblzma_la-tuklib_physmem.Plo
```

This is harmless, but since the warning is enabled by ./configure if available I figured you would want it fixed.

",https://github.com/tukaani-project/xz/pull/168,https://api.github.com/repos/tukaani-project/xz/issues/168,edd4cc2e64b0fb138cd5ab99fe17868f161dd3b5,collinfunk
166,closed,2025-02-16 17:28:42,2025-02-19 14:24:33,2025-02-17 16:48:16,,Build: Add support for `gl_REPLACE_GETOPT_ALWAYS` in getopt.m4,"Gnulib supports forcing the replacement of getopt & getopt_long, but that was removed from the in-tree simplified getopt.m4. This is useful for building for targets with broken getopt_long implementations.",https://github.com/tukaani-project/xz/pull/166,https://api.github.com/repos/tukaani-project/xz/issues/166,7df1dfcbaed53defa71d578c27fc21fc1e5fbcaa,lzcunt
165,closed,2025-02-03 23:07:45,2025-02-06 04:38:14,2025-02-06 04:37:38,,Fixed typos and improved Polish translation clarity.,Fixed typos and improved Polish translation clarity.,https://github.com/tukaani-project/xz/pull/165,https://api.github.com/repos/tukaani-project/xz/issues/165,883b5b46293af4f689a649c15ef5a972caa482e1,majevva
160,closed,2025-01-30 03:05:48,2025-01-30 18:27:58,2025-01-30 18:25:12,,update fr.po,"I added some translation so I was sure of the translation (I am a French speaker)

The parts I haven't translated yet are because I wasn't sure about the translation.",https://github.com/tukaani-project/xz/pull/160,https://api.github.com/repos/tukaani-project/xz/issues/160,0847354cad31ae52b3e16b9b1271eaa60536a9fb,femallet
159,closed,2024-12-27 08:21:32,2025-01-05 20:28:28,2025-01-04 08:52:23,,xz: Add --synchronous,"xz's default behavior is to delete the input file after successful compression or decompression (unless writing to standard output). If the system crashes soon after the deletion, it is possible that the newly written file has not yet hit the disk while the previous delete operation might have. In that case neither the original file nor the written file is available.

The `--synchronous` option makes xz call `fsync()` on the file and possibly the directory where the file was created. A similar option was added to GNU gzip 1.7 in 2016.
",https://github.com/tukaani-project/xz/pull/159,https://api.github.com/repos/tukaani-project/xz/issues/159,7ba6e83fa25f497e72ea9239b7c12b1f3d7a91a0,Larhzu
158,closed,2024-12-22 13:46:31,2024-12-22 18:44:01,2024-12-22 18:15:18,,CMake: Disable unity builds project-wide,"I have a project that uses xz via CMake's `FetchContent` module. This basically downloads xz and makes it part of the parent project using `add_subdirectory`.

After adding xz like this, I could no longer compile my project as a unity build because xz doesn't appear to support this. xz could certainly be modified to support this type of build, but that's not simply a one-time fix but a long term commitment.

<details>
<summary>These are the types of errors it generates:</summary>

```
In file included from /home/dexter/src/xz/src/liblzma/common/alone_decoder.c:14,
                 from /tmp/xz/CMakeFiles/liblzma.dir/Unity/unity_0_c.c:133:
/home/dexter/src/xz/src/liblzma/lz/lz_decoder.h:75:3: error: conflicting types for ‘lzma_lz_options’; have ‘struct <anonymous>’
   75 | } lzma_lz_options;
      |   ^~~~~~~~~~~~~~~
In file included from /home/dexter/src/xz/src/liblzma/lzma/lzma_encoder_private.h:16,
                 from /home/dexter/src/xz/src/liblzma/lzma/lzma_encoder.c:14:
/home/dexter/src/xz/src/liblzma/lz/lz_encoder.h:172:3: note: previous declaration of ‘lzma_lz_options’ with type ‘lzma_lz_options’
  172 | } lzma_lz_options;
      |   ^~~~~~~~~~~~~~~
```
```
/home/dexter/src/xz/src/xz/file_io.h:40:3: error: conflicting types for ‘io_buf’; have ‘union <anonymous>’
   40 | } io_buf;
      |   ^~~~~~
/home/dexter/src/xz/src/xz/file_io.h:40:3: note: previous declaration of ‘io_buf’ with type ‘io_buf’
   40 | } io_buf;
      |   ^~~~~~
```
</details>

This PR disables unity builds for the entire xz project directory. Because of how variable scoping works, if someone includes xz in their project and enables unity builds then it's still applied to any other part of the build that doesn't explicitly disable it for themselves.

Disabling unity builds when it doesn't work is recommended as per the `UNITY_BUILD` target property documentation:

>Projects should not directly set the `UNITY_BUILD` property or its associated `CMAKE_UNITY_BUILD` variable to true. [...] However, __it IS recommended to set the `UNITY_BUILD` property to false__ if it is known that enabling unity builds for target can lead to problems.

<hr>

Unity builds can sometimes reveal UB as compilation errors because the compiler can suddenly analyse across what would normally be separate compilation units. I just want to make it abundantly clear that I **DON'T** think that's what is going on here.

xz just employs some code patterns that happen to be incompatible with unity builds.",https://github.com/tukaani-project/xz/pull/158,https://api.github.com/repos/tukaani-project/xz/issues/158,b15af38a0f8b28095193a9ed522eb60f70856a43,dextercd
155,closed,2024-12-08 17:27:05,2024-12-18 15:35:56,2024-12-18 15:31:59,,liblzma: Fix incorrect macro name in a comment,"Very minor thing but this tripped me up. The comment references `lzma_ext_size_set` but this doesn't exist. It's supposed to say `lzma_set_ext_size`, with set at the start not the end.",https://github.com/tukaani-project/xz/pull/155,https://api.github.com/repos/tukaani-project/xz/issues/155,23b33391c20ca241659e398625a5228ec54ca1fb,dextercd
152,closed,2024-12-03 11:24:38,2024-12-03 11:24:57,2024-12-03 11:24:57,,Update README,..,https://github.com/tukaani-project/xz/pull/152,https://api.github.com/repos/tukaani-project/xz/issues/152,53e547d19bba5a7c5eb93014e26fb0d5eb51f31a,saulitalja
151,closed,2024-11-17 16:01:40,2025-01-06 09:33:46,2025-01-05 18:21:47,,Sync output to disk before removing source,"Synchronize created output to disk before removing original input. This lowers the risk to loose source and destination if a crash happens shortly after.

",https://github.com/tukaani-project/xz/pull/151,https://api.github.com/repos/tukaani-project/xz/issues/151,6238222bbf114ede8ac82b58a5eda42ad11ab774,sebastianas
149,closed,2024-10-15 10:11:42,2024-11-30 10:11:33,2024-11-30 10:11:33,,chore: Move SECURITY.md to the root of the repo,"closes #148
",https://github.com/tukaani-project/xz/pull/149,https://api.github.com/repos/tukaani-project/xz/issues/149,4331b1ddb7cc9258e0606dc96e56361d6297ad15,orhun
145,closed,2024-10-08 01:06:10,2024-12-18 15:32:00,2024-12-18 15:32:00,,po: Add Georgian translation,"Hello,
Here's almost complete translation for xz to Georgian.

Regards, Temuri",https://github.com/tukaani-project/xz/pull/145,https://api.github.com/repos/tukaani-project/xz/issues/145,171af02839954f7669095dcf605d7f293af4d086,NorwayFun
144,closed,2024-09-16 20:09:23,2024-09-16 22:35:42,2024-09-16 22:28:20,,lzmainfo: Avoid integer overflow,"The MB output can overflow with huge numbers. Most likely these are invalid lzma files anyway, but let's avoid garbage output.

Proof of Concept:

1. Create an lzma file with huge values
```
base64 -d <<< AP/////+/////////w== > poc.lzma
```

2. Run lzmainfo
```
lzmainfo poc.lzma
```

You can see this output:
```
poc.lzma
Uncompressed size:             0 MB (18446744073709551614 bytes)
Dictionary size:               0 MB (2^31 bytes)
Literal context bits (lc):     0
Literal pos bits (lp):         0
Number of pos bits (pb):       0
```

Clearly these MB values are wrong.",https://github.com/tukaani-project/xz/pull/144,https://api.github.com/repos/tukaani-project/xz/issues/144,5b330f4e5a341303ee56f93e092837881a72edc9,stoeckmann
143,closed,2024-09-16 20:07:40,2024-09-16 20:37:06,2024-09-16 20:36:56,,xzdec: Remove unused short option,"The ""M:"" entry must be a leftover from xz tool.
It's not available in xzdec.",https://github.com/tukaani-project/xz/pull/143,https://api.github.com/repos/tukaani-project/xz/issues/143,ebcab831defcae438cd4875923400b5e84977ff3,stoeckmann
