repo_name,language,created_at,description,watchers,stars,forks,link,topics
svinota/pyroute2,Python,2013-04-08T05:38:22Z,Python Netlink and PF_ROUTE library — network configuration and monitoring,987,987,251,https://github.com/svinota/pyroute2,['linux']
viblo/pymunk,Python,2013-10-02T14:36:46Z,Pymunk is a easy-to-use pythonic 2d physics library that can be used whenever  you need 2d rigid body physics from Python,967,967,191,https://github.com/viblo/pymunk,['library']
nitrogen/nitrogen,Erlang,2008-10-28T01:21:03Z,Nitrogen Web Framework for Erlang (now with websockets!),960,960,159,https://github.com/nitrogen/nitrogen,['websockets']
openSUSE/open-build-service,Ruby,2011-07-14T06:52:57Z,"Build and distribute Linux packages from sources in an automatic, consistent and reproducible way #obs",956,956,446,https://github.com/openSUSE/open-build-service,"['debian', 'ubuntu']"
apache/mina-sshd,Java,2010-05-26T23:38:08Z,Apache MINA sshd is a comprehensive Java library for client- and server-side SSH.,954,954,369,https://github.com/apache/mina-sshd,['library']
drhelius/Gearboy,C++,2012-07-19T21:45:46Z,"Game Boy / Gameboy Color emulator and debugger for macOS, Windows, Linux, BSD and RetroArch.",946,946,142,https://github.com/drhelius/Gearboy,['linux']
DSpace/DSpace,Java,2012-03-16T21:44:52Z,(Official) The DSpace digital asset management system that powers your Institutional Repository,945,945,1331,https://github.com/DSpace/DSpace,['open-source']
cxong/cdogs-sdl,C,2013-01-12T05:08:52Z,Classic overhead run-and-gun game,939,939,122,https://github.com/cxong/cdogs-sdl,['open-source']
ninenines/gun,Erlang,2013-08-21T17:57:12Z,"HTTP/1.1, HTTP/2, Websocket client (and more) for Erlang/OTP.",909,909,232,https://github.com/ninenines/gun,['websockets']
commontk/CTK,C++,2010-06-14T15:23:41Z,"A set of common support code for medical imaging, surgical navigation, and related purposes.",888,888,502,https://github.com/commontk/CTK,['open-source']
owent/libcopp,C++,2013-12-10T13:45:56Z,cross-platform coroutine library in c++,838,838,106,https://github.com/owent/libcopp,['linux']
Icinga/icingaweb2,PHP,2013-10-25T21:39:44Z,A lightweight and extensible web interface to keep an eye on your environment. Analyse problems and act on them.,820,820,279,https://github.com/Icinga/icingaweb2,['cli']
plougher/squashfs-tools,C,2012-11-01T16:44:15Z,tools to create and extract Squashfs filesystems,815,815,209,https://github.com/plougher/squashfs-tools,"['compression', 'linux']"
nose-devs/nose2,Python,2011-12-14T15:33:15Z,"The successor to nose, based on unittest2",802,802,131,https://github.com/nose-devs/nose2,['library']
GeyserMC/MCProtocolLib,Java,2012-08-13T01:57:38Z,A library for communication with a Minecraft client/server.,789,789,210,https://github.com/GeyserMC/MCProtocolLib,['library']
ical4j/ical4j,Java,2013-09-03T03:52:25Z,A Java library for parsing and building iCalendar data models,784,784,207,https://github.com/ical4j/ical4j,['library']
