repo_name,language,created_at,description,watchers,stars,forks,link,topics
jazzband/django-hosts,Python,2011-09-29T22:45:37Z,Dynamic and static host resolving for Django. Maps hostnames to URLconfs.,999,999,108,https://github.com/jazzband/django-hosts,[]
archlinuxarm/PKGBUILDs,Shell,2009-08-10T01:30:23Z,PKGBUILDs modified to build on Arch Linux ARM,998,998,615,https://github.com/archlinuxarm/PKGBUILDs,[]
neo4j-contrib/neomodel,Python,2012-09-12T16:17:06Z,An Object Graph Mapper (OGM) for the Neo4j graph database.,996,996,232,https://github.com/neo4j-contrib/neomodel,"['neo4j', 'ogm', 'python']"
coderholic/pyradio,Python,2008-09-24T11:51:13Z,Curses based internet radio player,995,995,127,https://github.com/coderholic/pyradio,[]
EventSource/eventsource,TypeScript,2012-02-08T12:03:28Z,"EventSource client for Node.js, browsers and other JavaScript runtimes",994,994,255,https://github.com/EventSource/eventsource,"['eventsource', 'server-sent-events', 'sse']"
rear/rear,Shell,2012-02-15T13:44:45Z,"Relax-and-Recover - Linux bare metal disaster recovery and system migration solution (cfr. mksysb, ignite)",994,994,263,https://github.com/rear/rear,[]
salesforce/tough-cookie,TypeScript,2011-10-19T15:22:36Z,RFC6265 Cookies and CookieJar for Node.js,994,994,276,https://github.com/salesforce/tough-cookie,[]
googleads/googleads-mobile-ios-examples,Objective-C,2013-12-04T19:36:07Z,googleads-mobile-ios,994,994,810,https://github.com/googleads/googleads-mobile-ios-examples,[]
brian-team/brian2,Python,2012-11-27T13:46:43Z,"Brian is a free, open source simulator for spiking neural networks. ",992,992,237,https://github.com/brian-team/brian2,"['biological-simulations', 'brian', 'brian2', 'code-generation', 'computational-neuroscience', 'differential-equations', 'neuroscience', 'python', 'science', 'simulation-framework', 'spiking-neural-networks']"
GafferHQ/gaffer,Python,2013-03-27T00:04:53Z,"Gaffer is a node-based application for lookdev, lighting and automation",992,992,208,https://github.com/GafferHQ/gaffer,[]
GoogleCloudPlatform/php-docs-samples,PHP,2012-12-03T22:45:09Z,A collection of samples that demonstrate how to call Google Cloud services from PHP.,992,992,1032,https://github.com/GoogleCloudPlatform/php-docs-samples,['samples']
kimwalisch/primesieve,C++,2013-09-24T17:58:41Z,🚀 Fast prime number generator,990,990,123,https://github.com/kimwalisch/primesieve,"['arm-neon', 'arm-sve', 'avx512', 'eratosthenes', 'math', 'number-theory', 'prime-numbers', 'primes', 'sieve', 'sieve-of-eratosthenes']"
libass/libass,C,2013-07-26T23:11:51Z,libass is a portable subtitle renderer for the ASS/SSA (Advanced Substation Alpha/Substation Alpha) subtitle format.,990,990,224,https://github.com/libass/libass,"['advanced-substation-alpha', 'ass', 'c', 'cross-platform', 'libass', 'ssa', 'substation-alpha', 'subtitle-format', 'subtitle-formats', 'subtitles']"
jonreid/OCMockito,Objective-C,2011-11-25T06:07:25Z,"Mockito for Objective-C: creation, verification and stubbing of mock objects",990,990,120,https://github.com/jonreid/OCMockito,"['mocking', 'mocking-framework', 'mockito', 'objective-c', 'testing', 'xctest']"
AcademySoftwareFoundation/rez,Python,2012-04-17T12:02:03Z,"An integrated package configuration, build and deployment system for software",989,989,341,https://github.com/AcademySoftwareFoundation/rez,"['environment-configuration', 'multi-platform', 'package-management', 'resolved-environments', 'rez', 'standalone-environments']"
piotrnar/gocoin,Go,2013-03-27T19:51:58Z,Full bitcoin solution written in Go (golang),988,988,228,https://github.com/piotrnar/gocoin,"['bitcoin', 'gocoin', 'golang', 'node', 'wallet']"
svinota/pyroute2,Python,2013-04-08T05:38:22Z,Python Netlink and PF_ROUTE library — network configuration and monitoring,987,987,251,https://github.com/svinota/pyroute2,"['9p', '9p2000', 'bsd', 'dhcp', 'ethtool', 'generic-netlink', 'genl', 'linux', 'namespace', 'netlink', 'netns', 'network', 'network-namespace', 'nfnetlink', 'nl80211', 'plan9', 'python', 'rtnl', 'wireguard']"
heroku/heroku-buildpack-python,Ruby,2011-05-17T20:26:30Z,Heroku's classic buildpack for Python applications.,985,985,1832,https://github.com/heroku/heroku-buildpack-python,"['buildpack', 'heroku', 'heroku-languages', 'python']"
RobotWebTools/rosbridge_suite,Python,2012-10-16T21:08:31Z,Server Implementations of the rosbridge v2 Protocol,984,984,540,https://github.com/RobotWebTools/rosbridge_suite,[]
robotframework/RIDE,Python,2011-09-27T11:53:40Z,Test data editor for Robot Framework,984,984,385,https://github.com/robotframework/RIDE,"['hacktoberfest', 'robotframework', 'robotframework-ide', 'robotframework-testing', 'testing-tools', 'wxpython']"
Sustainsys/Saml2,C#,2013-09-16T10:36:25Z,Saml2 Authentication services for ASP.NET,984,984,603,https://github.com/Sustainsys/Saml2,[]
feincms/feincms,Python,2009-01-27T20:34:16Z,A Django-based CMS with a focus on extensibility and concise code,984,984,235,https://github.com/feincms/feincms,[]
urschrei/pyzotero,Python,2011-02-28T21:31:44Z,Pyzotero: a Python client for the Zotero API,983,983,107,https://github.com/urschrei/pyzotero,"['citations', 'digital-humanities', 'zotero']"
reactiveui/splat,C#,2013-06-30T18:47:46Z,Makes things cross-platform,981,981,141,https://github.com/reactiveui/splat,"['cross-platform', 'hacktoberfest', 'ioc', 'logging', 'nlog', 'splat-locators']"
togglz/togglz,Java,2011-12-21T16:49:03Z,Feature Flags for the Java platform,981,981,261,https://github.com/togglz/togglz,"['feature-flags', 'feature-toggles', 'java']"
rails-sqlserver/activerecord-sqlserver-adapter,Ruby,2008-11-15T14:53:54Z,SQL Server Adapter For Rails,978,978,563,https://github.com/rails-sqlserver/activerecord-sqlserver-adapter,"['activerecord', 'database', 'freetds', 'hacktoberfest', 'rails', 'ruby', 'sql', 'sql-server', 'tinytds']"
krakjoe/apcu,C,2013-03-01T01:21:28Z,APCu - APC User Cache,977,977,198,https://github.com/krakjoe/apcu,[]
newrelic/node-newrelic,JavaScript,2013-01-03T22:19:32Z,"New Relic Node.js agent code base. Developers are welcome to create pull requests here, please see our contributing guidelines. For New Relic technical support, please go to http://support.newrelic.com.",976,976,410,https://github.com/newrelic/node-newrelic,[]
arq5x/bedtools2,C,2013-12-09T21:18:03Z,bedtools - the swiss army knife for genome arithmetic,975,975,292,https://github.com/arq5x/bedtools2,[]
AddictedCS/soundfingerprinting,C#,2011-11-17T15:36:24Z,Open source audio fingerprinting in .NET. An efficient algorithm for acoustic fingerprinting written purely in C#.  ,974,974,193,https://github.com/AddictedCS/soundfingerprinting,"['acoustic-fingerprints', 'algorithm', 'audio', 'audio-processing', 'c-sharp', 'fingerprints', 'locality-sensitive-hashing', 'nearest-neighbor-search', 'recognition', 'shazam']"
tsliwowicz/go-wrk,Go,2013-05-30T19:53:18Z,go-wrk - a HTTP benchmarking tool based in spirit on the excellent wrk tool (https://github.com/wg/wrk),972,972,122,https://github.com/tsliwowicz/go-wrk,"['concurrency', 'go', 'http-benchmarking', 'performance-testing']"
pocl/pocl,C,2013-08-22T09:26:12Z,pocl - Portable Computing Language,972,972,262,https://github.com/pocl/pocl,"['heterogeneous-parallel-programming', 'opencl']"
SIPp/sipp,C++,2013-09-27T21:28:32Z,The SIPp testing tool,971,971,397,https://github.com/SIPp/sipp,[]
CellProfiler/CellProfiler,Python,2011-04-05T12:10:12Z,An open-source application for biological image analysis,971,971,392,https://github.com/CellProfiler/CellProfiler,[]
ros/rosdistro,Python,2012-01-11T00:13:17Z,This repo maintains a lists of repositories for each ROS distribution,971,971,2619,https://github.com/ros/rosdistro,[]
akeneo/pim-community-dev,PHP,2012-08-10T09:27:26Z,[Community Development Repository] The open source Product Information Management (PIM),971,971,523,https://github.com/akeneo/pim-community-dev,"['akeneo-pim', 'javascript', 'opensource', 'php', 'pim', 'product', 'symfony', 'ziggy']"
riscv-software-src/riscv-tests,C,2013-04-24T08:05:07Z,,969,969,491,https://github.com/riscv-software-src/riscv-tests,[]
fontforge/designwithfontforge.com,HTML,2013-01-17T17:01:54Z,A book about how to design new typefaces with FontForge,968,968,172,https://github.com/fontforge/designwithfontforge.com,[]
viblo/pymunk,Python,2013-10-02T14:36:46Z,Pymunk is a easy-to-use pythonic 2d physics library that can be used whenever  you need 2d rigid body physics from Python,967,967,191,https://github.com/viblo/pymunk,"['library', 'physics-2d', 'physics-engine', 'physics-simulation', 'pygame', 'pyglet', 'python', 'python-library']"
audacious-media-player/audacious,C++,2011-12-06T14:45:02Z,A lightweight and versatile audio player,966,966,122,https://github.com/audacious-media-player/audacious,[]
apache/cordova-plugin-camera,Objective-C,2013-06-22T07:00:13Z,Apache Cordova Plugin camera,966,966,1561,https://github.com/apache/cordova-plugin-camera,"['cordova', 'cordova-plugin', 'hacktoberfest', 'java', 'javascript', 'mobile', 'nodejs', 'objective-c']"
pydata/patsy,Python,2012-07-10T12:30:06Z,Describing statistical models in Python using symbolic formulas,965,965,104,https://github.com/pydata/patsy,[]
JessicaTegner/pypandoc,Python,2011-11-16T09:21:06Z,"Thin wrapper for ""pandoc"" (MIT)",965,965,115,https://github.com/JessicaTegner/pypandoc,"['formatting', 'hacktoberfest', 'hacktoberfest2022', 'html', 'markdown', 'pandoc', 'pdf', 'pdf-generation', 'pypandoc', 'python']"
ebroecker/canmatrix,Python,2013-04-08T19:08:14Z,Converting Can (Controller Area Network) Database Formats .arxml .dbc .dbf .kcd ...,963,963,408,https://github.com/ebroecker/canmatrix,"['arxml', 'can', 'canbus', 'compare', 'convert', 'dbc', 'dbf', 'dissector', 'fibex', 'json', 'kcd', 'modify', 'python', 'sym', 'xlsx']"
oroinc/crm-application,PHP,2013-06-03T09:02:57Z,OroCRM - an open-source Customer Relationship Management application.,962,962,290,https://github.com/oroinc/crm-application,"['application', 'crm', 'customer-retention', 'orocrm', 'orocrm-application', 'oroplatform-application', 'php', 'symfony', 'symfony-application', 'web-application']"
getsentry/sentry-ruby,Ruby,2012-04-06T06:21:26Z,Sentry SDK for Ruby,961,961,514,https://github.com/getsentry/sentry-ruby,"['crash-reporting', 'crash-reports', 'error-handler', 'error-monitoring', 'hacktoberfest', 'ruby', 'sdk', 'stacktrace', 'tag-production', 'team-web-backend']"
openSUSE/snapper,C++,2012-04-20T12:40:55Z,Manage filesystem snapshots and allow undo of system modifications,960,960,130,https://github.com/openSUSE/snapper,[]
nitrogen/nitrogen,Erlang,2008-10-28T01:21:03Z,Nitrogen Web Framework for Erlang (now with websockets!),960,960,159,https://github.com/nitrogen/nitrogen,"['erlang', 'javascript', 'webframework', 'websockets']"
pallets-eco/flask-debugtoolbar,JavaScript,2011-12-16T20:03:04Z,A toolbar overlay for debugging Flask applications,959,959,146,https://github.com/pallets-eco/flask-debugtoolbar,"['debug', 'flask', 'flask-debugtoolbar', 'flask-sqlalchemy', 'jinja', 'profile', 'python', 'werkzeug']"
freebasic/fbc,FreeBASIC,2011-09-26T08:20:19Z,"FreeBASIC is a completely free, open-source, multi-platform BASIC compiler, with syntax similar to MS-QuickBASIC, that adds new features such as pointers, object orientation, unsigned data types, inline assembly, and many others.",958,958,149,https://github.com/freebasic/fbc,"['freebasic', 'quickbasic']"
unitedstates/congress,Python,2012-08-22T13:42:56Z,"Public domain data collectors for the work of Congress, including legislation, amendments, and votes.",957,957,207,https://github.com/unitedstates/congress,[]
openSUSE/open-build-service,Ruby,2011-07-14T06:52:57Z,"Build and distribute Linux packages from sources in an automatic, consistent and reproducible way #obs",956,956,446,https://github.com/openSUSE/open-build-service,"['appimage', 'archlinux', 'centos', 'deb', 'debian', 'docker', 'fedora', 'kiwi', 'obs', 'openbuildservice', 'opensuse', 'packages', 'packaging', 'pkgbuild', 'rails-application', 'rpm', 'ruby', 'ruby-on-rails', 'ubuntu']"
deajan/osync,Shell,2013-06-18T10:56:16Z,"A robust two way (bidirectional) file sync script based on rsync with fault tolerance, POSIX ACL support, time control and near realtime sync",954,954,104,https://github.com/deajan/osync,"['acl-replication', 'file-replication', 'posix-acl', 'replication', 'rsync-wrapper', 'sync-files', 'synchronization', 'time-control']"
sscarduzio/elasticsearch-readonlyrest-plugin,Scala,2013-12-06T14:10:45Z,"Free Elasticsearch security plugin and Kibana security plugin: super-easy Kibana multi-tenancy, Encryption, Authentication, Authorization, Auditing",954,954,164,https://github.com/sscarduzio/elasticsearch-readonlyrest-plugin,"['elasticsearch', 'elasticsearch-plugin', 'elasticsearch-security', 'java', 'kibana', 'netty', 'security']"
apache/mina-sshd,Java,2010-05-26T23:38:08Z,Apache MINA sshd is a comprehensive Java library for client- and server-side SSH.,954,954,369,https://github.com/apache/mina-sshd,"['apache', 'java', 'library', 'ssh']"
flashrom/flashrom,C,2011-03-13T16:28:46Z,Send patches to https://review.coreboot.org: https://www.flashrom.org/Development_Guidelines#GitHub,952,952,457,https://github.com/flashrom/flashrom,"['firmware-tools', 'firmware-update', 'firmware-updater', 'firmware-updates']"
increpare/PuzzleScript,JavaScript,2013-09-29T08:27:21Z,Open Source HTML5 Puzzle Game Engine,951,951,162,https://github.com/increpare/PuzzleScript,"['game-engine', 'html5', 'javascript', 'puzzlescript', 'scripting-language']"
mopidy/mopidy-spotify,Python,2013-10-08T20:30:02Z,Mopidy extension for playing music from Spotify,950,950,111,https://github.com/mopidy/mopidy-spotify,"['mopidy', 'mopidy-backend', 'python', 'spotify']"
krzyzanowskim/OpenSSL,C,2013-10-07T15:06:35Z,"OpenSSL package for SwiftPM, CocoaPod, and Carthage, multiplatform",950,950,345,https://github.com/krzyzanowskim/OpenSSL,"['carthage', 'cocoapods', 'ios', 'macos', 'openssl', 'spm', 'swift-package-manager', 'tvos', 'visionos', 'watchos']"
KhronosGroup/KTX-Software,C++,2013-08-15T14:39:43Z,KTX (Khronos Texture) Library and Tools,950,950,248,https://github.com/KhronosGroup/KTX-Software,"['ktx', 'ktx-library', 'opengl', 'textures']"
camping/camping,Ruby,2009-08-21T13:59:40Z,the 5k pocket full-of-gags web microframework,949,949,103,https://github.com/camping/camping,[]
dartsim/dart,C++,2011-09-19T21:53:51Z,DART: Dynamic Animation and Robotics Toolkit,949,949,287,https://github.com/dartsim/dart,"['computer-animation', 'dynamics', 'kinematics', 'lie-group', 'robotics', 'simulation']"
sunpy/sunpy,Python,2011-08-06T15:34:08Z,SunPy - Python for Solar Physics,948,948,605,https://github.com/sunpy/sunpy,"['astronomy', 'astropy', 'hacktoberfest', 'python', 'solar', 'solar-physics', 'sun', 'sunpy']"
SolrNet/SolrNet,C#,2010-03-04T02:01:20Z,Solr client for .Net,948,948,795,https://github.com/SolrNet/SolrNet,"['c-sharp', 'dotnet', 'microsoft', 'solr', 'solrnet']"
maxmind/libmaxminddb,C,2013-03-19T16:09:00Z,C library for the MaxMind DB file format,947,947,243,https://github.com/maxmind/libmaxminddb,[]
prometheus/statsd_exporter,Go,2013-07-02T16:14:24Z,StatsD to Prometheus metrics exporter,946,946,237,https://github.com/prometheus/statsd_exporter,"['go', 'hacktoberfest', 'metrics', 'prometheus', 'prometheus-exporter', 'statsd', 'statsd-metrics']"
drhelius/Gearboy,C++,2012-07-19T21:45:46Z,"Game Boy / Gameboy Color emulator and debugger for macOS, Windows, Linux, BSD and RetroArch.",946,946,142,https://github.com/drhelius/Gearboy,"['bsd', 'emulation', 'emulator', 'game-boy', 'gameboy', 'gameboy-color-emulator', 'gameboy-emulator', 'libretro', 'linux', 'nintendo-gameboy', 'raspberry-pi', 'retroarch']"
opencv/opencv_extra,,2012-07-19T09:38:22Z,OpenCV extra data,945,945,1577,https://github.com/opencv/opencv_extra,[]
DSpace/DSpace,Java,2012-03-16T21:44:52Z,(Official) The DSpace digital asset management system that powers your Institutional Repository,945,945,1331,https://github.com/DSpace/DSpace,"['dspace', 'java', 'open-access', 'open-source', 'repository', 'rest-api']"
