Topic,Count
python,78
hacktoberfest,69
java,59
javascript,36
php,32
c,29
ruby,26
scala,15
django,14
cross-platform,14
c-plus-plus,13
linux,12
open-source,11
nodejs,10
cpp,10
c-sharp,10
html,10
database,10
android,10
json,9
cms,8
bioinformatics,8
ios,8
symfony,8
library,7
api,7
go,7
web,7
erlang,7
lua,7
framework,7
windows,7
r,6
macos,6
postgresql,6
testing,6
heroku,6
crash-reporting,6
xml,6
mobile,6
content-management-system,5
golang,5
dotnet,5
mysql,5
docker,5
validation,5
email,5
haskell,5
security,5
markdown,5
spring,5
objective-c,5
sms,5
rails,5
game,5
git,4
video,4
service,4
minecraft,4
build-tool,4
data-science,4
ddd,4
optimization,4
error-monitoring,4
rest-api,4
openstreetmap,4
unix,4
buildpack,4
heroku-languages,4
react,4
osgi,4
typescript,4
neuroimaging,4
package-manager,4
travis-ci,4
elasticsearch,4
maven-plugin,4
opensource,4
stripe,4
high-performance,4
medical-imaging,4
dicom,4
network,4
protocol,4
solr,4
visualization,4
wordpress,4
genomics,4
sdk,3
cocoapods,3
html5,3
data-visualization,3
game-engine,3
registration,3
erp,3
websockets,3
debug,3
scientific-computing,3
segmentation,3
freebsd,3
simulation,3
packaging,3
json-parser,3
commons,3
neo4j,3
authentication,3
fsharp,3
maps,3
cli,3
school,3
aws,3
backup,3
python3,3
mariadb,3
web-framework,3
csv,3
api-client,3
kotlin,3
xmpp,3
graph,3
web-development,3
rss,3
mongodb,3
oracle,3
elearning,3
i18n,3
phone,3
cloud,3
statistics,3
parser,3
spring-data,3
css,3
julia,3
sbt,3
intellij,3
coverage,3
documentation,3
gis,3
http,3
chrome,3
instrumentation,3
sqlite,3
sparql,3
error-handling,3
laravel,3
matlab,3
web-application,3
data-analysis,3
neuroscience,3
bsd,3
samples,3
solver,3
python-library,3
code-generation,3
eclipse,3
ocaml,3
mapping,3
search,3
sql,3
closember,3
multi-platform,3
sbt-plugin,3
template-engine,2
twiml,2
gamedev,2
sql-server,2
dicom-viewer,2
2d,2
passbook,2
linked-data,2
big-data,2
hpc,2
brain-imaging,2
unit-testing,2
gitlab,2
rpg,2
modding,2
cryptography,2
map,2
wordpress-plugin,2
math,2
geospatial,2
assembler,2
rdf,2
static-code-analysis,2
civic-tech,2
cplusplus,2
exceptions,2
smallcheck,2
artificial-intelligence,2
quickcheck,2
rails-engine,2
hunit,2
image-processing,2
itk,2
notifier,2
vue,2
platforms,2
variant-calling,2
tcl,2
mediawiki,2
nosql,2
admin,2
slideshow,2
communication,2
algorithm,2
netconf,2
package-management,2
static-analysis,2
perl,2
streaming,2
ecommerce,2
3d,2
messaging,2
voice,2
wireless,2
chef-cookbook,2
dashboard,2
configuration,2
twig,2
webapp,2
testing-tools,2
oroplatform,2
gradle,2
jquery,2
data-management,2
content-management,2
consumer,2
jetbrains,2
schema,2
reporting,2
client,2
intellij-plugin,2
spock,2
lwt,2
maven,2
await,2
autocomplete,2
mocking,2
c-plus-plus-17,2
nuget,2
mvc,2
malware-analysis,2
chef,2
cpp17,2
activerecord,2
portable-executable,2
reverse-engineering,2
continuous-delivery,2
d,2
competitive-programming,2
discovery,2
geo,2
configuration-management,2
programming-contests,2
visualisation,2
spatial,2
expressjs,2
logging,2
plc,2
translate,2
hibernate,2
cryptocurrency,2
chemistry,2
push-notifications,2
digital-humanities,2
cakephp,2
mms,2
telephony,2
twilio,2
exception-reporting,2
csharp,2
network-server,2
performance,2
fedora,2
iot,2
qt,2
music,2
packages,2
smtp,2
asynchronous,2
rails-application,2
open-science,2
rss-reader,2
modeling,2
geocoding,2
cbor,2
replication,2
pdb,2
frida,2
location,2
forum,2
cordova,2
shell,2
machine-learning,2
boost,2
netty,2
apache,2
ui,2
collaboration,2
swift,2
csp,2
unittesting,2
deb,2
wrapper,2
virtualization,2
management,2
nosetests,2
opendata,2
makefile,2
crm,2
netcdf,2
orocrm,2
bitcoin,2
verification,2
data,2
crash-reports,2
events,2
centos,2
node,2
mpi,2
lms,2
osm,2
transit,2
flask,2
wikidata,2
ngs,2
wallet,2
jsonschema,2
command-line-tool,2
functional-programming,2
